Register Name,Register Address,Register Data,,notes,,
CFG_PTIME2,0x54,0x00,,timer configuration,,
CFG_PTIME3,0x55,0x00,,timer configuration,,
CFG_PTIME4,0x56,0x00,,timer configuration,,
CFG_I2C,0x57,0x30,,I2C configuration,,
CFG_START,0x58,0x01,,startup configuration,,
PAGE,0x59,0x00,,Page valid,,
CFG_ETC,0x5A,0x02,,Miscelleanous configuration,,
OTP_UNUSED0,0x60,0x00,,unused OTP,,
IMAGE_ADDR,0x7F,0x00,,Offset into shadow image,,
IMAGE_DATA0,0x80,0x00,,Shadow OTP image 0,,
IMAGE_DATA1,0x81,0x00,,Shadow OTP image 1,,
IMAGE_DATA2,0x82,0x00,,Shadow OTP image 2,,
IMAGE_DATA3,0x83,0x00,,Shadow OTP image 3,,
IMAGE_DATA4,0x84,0x00,,Shadow OTP image 4,,
IMAGE_DATA5,0x85,0x00,,Shadow OTP image 5,,
IMAGE_DATA6,0x86,0x00,,Shadow OTP image 6,,
IMAGE_DATA7,0x87,0x00,,Shadow OTP image 7,,
TM_I2C,0xC0,0x00,,I2C control,,
TM_DFT,0xC1,0x00,,Enable scan testmode,,
TM_LATCH_FAULT,0xC2,0x00,,Allow exit from latched fault state,,
TM_DIAG0,0xC3,0x00,,Select diagnostic data,,
TM_DIAG1,0xC4,0x00,,Select diagnostic data,,
TM_PMUX,0xC5,0x00,,Enable test muxes,,
TM_ADDR_A,0xC6,0x00,,Analog test mux select,,
TM_ADDR_D,0xC7,0x00,,Digital test mux select,,
TM_CP0,0xC8,0x00,,CP testmodes,,
TM_CP1,0xC9,0x00,,CP testmodes,,
TM_CP2,0xCA,0x00,,CP testmodes,,
TM_REF,0xCB,0x00,,Reference/Bias testmodes,,
TM_OVER0,0xCC,0x00,,Override signals,,
TM_OVER1,0xCD,0x00,,Override signals,,
TM_OVER2,0xCE,0x00,,Override signals,,
TM_OVER3,0xCF,0x00,,Override signals,,
TM_STATE0,0xD0,0x00,,Enable state machine forcing,,
TM_STATE1,0xD1,0x00,,Forced state variables,,
CPCLKM_CMD,0xD2,0x00,,CPCLK measurement command,,
CPCLKM_STATUS,0xD3,0x00,,CPCLK measurement status,,
NVM_CTRL,0xE0,0x13,,configure OTP access,,
NVM_ADDR,0xE1,0x00,,OTP row address,,
NVM_CMD,0xE2,0x00,,"request read, write, reload",,
NVM_STATUS,0xE3,0x00,,OTP done flags,,
OTP_CTRL0,0xE4,0x00,,manual control of OTP signals,,
OTP_CTRL1,0xE5,0x00,,power switching setting,,
OTP_WTIM0,0xE6,0x3C,,PWE timing,,
OTP_WTIM1,0xE7,0x0F,,PWE timing,,
NVM_DATA0,0xE8,0x00,,64-bit ECC buffer,,
NVM_DATA1,0xE9,0x00,,64-bit ECC buffer,,
NVM_DATA2,0xEA,0x00,,64-bit ECC buffer,,
NVM_DATA3,0xEB,0x00,,64-bit ECC buffer,,
NVM_DATA4,0xEC,0x00,,64-bit ECC buffer,,
NVM_DATA5,0xED,0x00,,64-bit ECC buffer,,
NVM_DATA6,0xEE,0x00,,64-bit ECC buffer,,
NVM_DATA7,0xEF,0x00,,64-bit ECC buffer,,
DIE_REV,0xFD,0x00,,die revision code,,
CHIP_ID,0xFE,0x16,,constant chip identifier,,
PSEMI_ID,0xFF,0x95,,constant pSemi ID code,,
